latitude,longitude,gi_star,p_value,hotspot_category,weight_sum
8.772465296491578,76.68575754257814,,0.001,Not Significant,0.003991352
8.774249155097639,76.69121879206124,-0.21229761999826233,0.452,Not Significant,0.021453518
8.756158545816032,76.69295461688922,,0.001,Not Significant,0.01363712
8.772432761206058,76.69302829046543,0.14715681408534764,0.286,Not Significant,0.01180775
8.776049251531825,76.6930446816758,-0.12190922563732766,0.471,Not Significant,0.01363712
8.763383385093666,76.69480498183025,-0.2708686399011889,0.384,Not Significant,0.009812074
8.776041092443378,76.69486238184223,-0.0403400483439823,0.374,Not Significant,0.009812074
8.763375229219243,76.69662261875152,-0.4585108929053561,0.126,Not Significant,0.013803426
8.765183471958844,76.69663082226107,-0.3958139122225102,0.189,Not Significant,0.009812074
8.745284644411798,76.6983582278553,,0.001,Not Significant,0.01363712
8.765175305641955,76.69844846620205,-0.23341333001192788,0.393,Not Significant,0.003991352
8.766983546491065,76.69845668025049,-0.6235271269557568,0.072,Not Significant,0.01363712
8.739851763758782,76.70015117381655,-0.5371889396475757,0.232,Not Significant,0.042907036
8.7525012797977,76.70202617693728,-0.3980003328759078,0.239,Not Significant,0.007816398
8.7543095184822,76.70203439619681,-0.5504072094748867,0.137,Not Significant,0.009812074
8.759734233455047,76.70205906455992,,0.001,Not Significant,0.01363712
8.739835435466485,76.70378620744026,0.2523118933515276,0.222,Not Significant,0.007982704
8.786849570864858,76.7040003887001,,0.001,Not Significant,0.003991352
8.73259431041493,76.70557084159964,-0.8427259788580885,0.001,Cold Spot (99% Confidence),0.007982704
8.738019021566783,76.7055954989523,-0.37638139067728604,0.195,Not Significant,0.019624148
8.743443731100507,76.70562017221188,-0.657059781772524,0.048,Cold Spot (95% Confidence),0.003991352
8.732586131374548,76.70738831900069,-0.3908803614627799,0.266,Not Significant,0.003991352
8.738010837369059,76.70741300259745,-0.1284366595227823,0.483,Not Significant,0.01180775
8.739819072340993,76.7074212340016,-0.2742129989530958,0.248,Not Significant,0.007816398
8.74343554174529,76.70743770211803,-0.6740789248418828,0.016,Cold Spot (95% Confidence),0.003991352
8.747052010429924,76.70745417731221,-0.8424586008612408,0.001,Cold Spot (99% Confidence),0.015632796
8.756093178991058,76.70749539626513,1.2140300992910942,0.065,Not Significant,0.01363712
8.76151787796599,76.7075201488733,1.558960897246417,0.063,Not Significant,0.015632796
8.736194411034162,76.70922226608853,0.23082375765567525,0.201,Not Significant,0.007816398
8.73800264446494,76.70923050447327,-0.16524322895657662,0.426,Not Significant,0.013803426
8.75246850543449,76.70929647531753,-0.10540185828509105,0.497,Not Significant,0.019624148
8.757893200327194,76.70932124361323,-0.06140697395835727,0.369,Not Significant,0.03542325
8.73437797925869,76.71103151208185,0.2023506879881688,0.228,Not Significant,0.021619824
8.736186211146485,76.71103975744334,-0.16093915837190095,0.431,Not Significant,0.033261268
8.73799444285448,76.71104800457789,0.23386659283291722,0.192,Not Significant,0.007816398
8.743419136899274,76.71107275662013,-0.7813771715138931,0.003,Cold Spot (99% Confidence),0.003991352
8.730753311525435,76.71283249002151,-0.16940454734260144,0.459,Not Significant,0.003991352
8.741602691964859,76.71288202000298,-0.2910346959244958,0.284,Not Significant,0.003991352
8.727128641276291,76.71463343831282,-0.47226968186808443,0.234,Not Significant,0.003991352
8.736169785257747,76.71467473483196,2.367964549949261,0.003,Hot Spot (99% Confidence),0.007816398
8.737978013514676,76.71468299946602,2.7275270226342463,0.001,Hot Spot (99% Confidence),0.02544487
8.74159446948888,76.71469953406468,0.9630884600768062,0.06,Not Significant,0.007816398
8.727120423916448,76.71645088062257,-0.842652106265615,0.001,Cold Spot (99% Confidence),0.009812074
8.737969785785419,76.71650049424575,0.41086099658982267,0.15,Not Significant,0.15266922
