"gid","poi_name","poi_desc","category_id","table_suffix","site_code","district","is_enabled","phone_no","alternate_num","the_geom","sub_category","source_id","source","created_by","created_date","verified_by","verification_id","verification_remarks","verified_date","email_id","contact_id","police_district","sub_district","place_name","pincode","address","latitude","longitude","last_update"
"46179","Malayinkeezhu Ps","Police Stations",32,"police_stations","KL","Thiruvananthapuram",True,"9497981340","{""contactNoList"":[{""contactNoType"":""Mobile"",""phoneNo"":""9497980115""},{""contactNoType"":""Main"",""phoneNo"":""04712282023""}]}","0101000020E6100000BB9EEDCF8C425340B191A51DCBFA2040",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.489830900631974","77.03984449582178","2024-05-09 14:05:41.221775"
"46182","Marad Police Station",NULL,32,"police_stations","KL","Kozhikode",True,"9497947183","{""contactNoList"":[{""contactNoType"":""Main"",""phoneNo"":""9497947183""}]}","0101000020E6100000E3B71E8DD4F25240E8919A58CA602640",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11.189043778293993","75.7942230987533","2024-05-09 14:05:41.221775"
"46183","Police Aid","Police Station",32,"police_stations","KL","Thrissur",True,"4872202434","{""contactNoList"":[{""contactNoType"":""Main"",""phoneNo"":""04872202434""}]}","0101000020E610000097080A72860C53407A3E5EA3403A2540",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10.6137744","76.1957059","2024-05-09 14:05:41.221775"
"46184","Office Of The Commissioner Of Police Thiruvananthapuram",NULL,32,"police_stations","KL","Trivandrum",True,NULL,NULL,"0101000020E610000057870F18453D5340CE46681070FE2040",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.49694873116405","76.95734216228935","2024-05-09 14:05:41.221775"
"46187","Police Signal Control","Police Station",32,"police_stations","KL",NULL,True,NULL,NULL,"0101000020E6100000FAAC7CE0741253405FC65E398C1F2440",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10.0616167","76.2883836","2024-05-09 14:05:41.221775"
"46188","Kunjippalli Police Station","Police Station",32,"police_stations","KL","Kozhikode",True,NULL,"{""contactNoList"":[]}","0101000020E610000043A1AF6A5AE3524028BDCA35605B2740",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11.6784684","75.5523936","2024-05-09 14:05:41.221775"
"46189","Office Of Dist. Supdt.","Police Station",32,"police_stations","KL",NULL,True,NULL,NULL,"0101000020E6100000139A2496943C5340593D169117042140",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.5079923","76.946569","2024-05-09 14:05:41.221775"
"46190","Vigilance & Anti Corruption","Police Station",32,"police_stations","KL",NULL,True,NULL,NULL,"0101000020E61000005C9D52149E3C534041FE881524042140",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.5080878","76.9471484","2024-05-09 14:05:41.221775"
"46191","Kerala Railway Police Station","Police Station",32,"police_stations","KL",NULL,True,NULL,NULL,"0101000020E61000006B381BE1A31253403AD4A535BCEF2340",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"9.9682328","76.2912524","2024-05-09 14:05:41.221775"
"46192","Vellayil Police Station","Police Station",32,"police_stations","KL","Kozhikode",True,"9497980728","{""contactNoList"":[{""contactNoType"":""Mobile"",""phoneNo"":""9497980728""},{""contactNoType"":""Main"",""phoneNo"":""04952384799""}]}","0101000020E6100000139E2BA5C2F05240747CB43863902640",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11.282007","75.7618802","2024-05-09 14:05:41.221775"
"46193","Police Station, Punnapra","Police Station",32,"police_stations","KL","Alappuzha",True,"4772287669","{""contactNoList"":[{""contactNoType"":""Main"",""phoneNo"":""04772287669""}]}","0101000020E61000006F5C6B941A165340E36CDF4845DC2240",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"9.4302161","76.3453723","2024-05-09 14:05:41.221775"
"46194","Poovar Ps","Police Stations",32,"police_stations","KL","Thiruvananthapuram",True,"9497987026","{""contactNoList"":[{""contactNoType"":""Mobile"",""phoneNo"":""9497987026""},{""contactNoType"":""Main"",""phoneNo"":""04712211100""}]}","0101000020E610000022E6D93D79445340D865A64E40A32040",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.318850000202403","77.06990000037379","2024-05-09 14:05:41.221775"
"46195","Rpf Aid Post","Police Station",32,"police_stations","KL","Thiruvananthapuram",True,"9897654321",NULL,"0101000020E61000009AFFA1AAD33C53400548D9C7AFF82040",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.4857161","76.9504191","2024-07-12 16:26:20.088"
"46196","Police Aid Post","Police Station",32,"police_stations","KL","Ernakulam",True,NULL,"{""contactNoList"":[]}","0101000020E6100000B1CD7CBDB1135340ED212B099A0C2440",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10.0246127","76.3077234","2024-05-09 14:05:41.221775"
"46197","Sub Inspector'S Office, Kanjirappally","Police Station",32,"police_stations","KL",NULL,True,NULL,NULL,"0101000020E6100000F0D297EFAA325340C2D4E0C7E21C2340",NULL,3,"GIVEN BY STATE",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"9.5564177","76.7916831","2024-05-09 14:05:41.221775"
